	named_entities	type
0	 Lei no 6.938	train
1	 Lei no 6.902	train
2	 Decreto no 88.351	train
3	 Decreto no 93.607	train
4	 Decreto no 76.767	train
5	 Decreto no 94.338	train
6	 Decreto no 92.690	train
7	 Decreto no 92.622	train
8	 Decreto no 94.575	train
9	 Decreto no 94.366	train
10	 Decreto no 85.645	test
11	 Decreto no 92.689	test
12	 Decreto no 92.617	train
13	 Decreto no 92.684	train
14	 Decreto no 92.623	train
15	 Decreto no 92.680	train
16	 Decreto no 92.681	train
17	 Decreto no 92.681	train
18	 Decreto no 92.687	train
19	 Decreto no 92.689	train
20	 Decreto no 92.689	test
21	 Decreto no 92.693	test
22	 Decreto no 92.693	train
23	 Decreto no 89.241	train
24	 Decreto no 93.800	train
25	 Lei no 7.602	train
26	 Decreto no 85.387	train
27	 Decreto no 93.597	train
28	 Decreto no 94.192	train
29	 Decreto no 94.192	train
30	 Decreto no 92.617	test
31	 Decreto no 92.617	test
32	 Decreto no 92.690	train
33	 Decreto no 92.617	train
34	 Decreto no 92.679	train
35	 Decreto no 92.620	train
36	 Decreto no 92.617	train
37	 Decreto no 92.617	train
38	 Decreto no 92.889	train
39	 Decreto no 90.223	train
40	 Decreto no 92.691	test
41	 Decreto no 91.305	test
42	 Lei no 7.565	train
43	 Decreto no 90.600	train
44	 Decreto no 81.771	train
45	 Decreto no 94.236	train
46	 Decreto no 95.001	train
47	 Lei no 7.418	train
48	 Lei no 7.619	train
49	 Lei no 5.809	train
50	 Decreto no 71.733	train
51	 Decreto no 75.430	train
52	 Decreto no 90.928	train
53	 Decreto no 70.451	test
54	 Decreto no 92.614	test
55	 Decreto no 92.694	train
56	 Decreto no 92.688	train
57	 Decreto no 92.623	train
58	 Decreto no 92.688	train
59	 Decreto no 92.617	train
60	 Decreto no 92.682	train
61	 Decreto no 92.684	train
62	 Decreto no 92.684	train
63	 Decreto no 93.537	test
64	 Decreto no 92.614	test
65	 Decreto no 92.322	train
66	 Lei no 7.596	train
67	 Decreto no 92.689	train
68	 Decreto no 92.694	train
69	 Decreto no 92.689	train
70	 Decreto no 62.724	train
71	 Decreto no 92.680	train
72	Decreto-Lei no 3.689	train
73	 Lei no 7.827	test
74	 Lei no 8.906	test
75	 Decreto no 1.791	train
76	 Decreto no 5.995	train
77	 Decreto no 5.135	train
78	 Decreto no 3.048	train
79	 Lei no 11.647	train
80	 Decreto no 6.687	train
81	 Decreto no 6.006	train
82	 Decreto no 88.777	train
83	 Lei no 10.849	train
84	 Decreto no 5.474	train
85	 Decreto no 6.359	test
86	 Lei no 10.304	test
87	 Lei no 10.880	train
88	 Decreto no 2.028	train
89	 Lei no 10.304	train
90	 Lei no 11.440	train
91	 Lei no 9.657	train
92	 Lei no 10.551	train
93	 Lei no 10.225	train
94	 Lei no 9.620	train
95	 Lei no 8.691	train
96	 Lei no 11.355	train
97	 Lei no 11.171	train
98	 Lei no 10.483	train
99	 Lei no 10.355	train
100	 Lei no 10.486	train
101	 Lei no 11.356	train
102	 Lei no 11.356	train
103	 Lei no 5.645	train
104	 Lei no 11.357	train
105	 Lei no 11.090	train
106	 Lei no 11.095	train
107	 Lei no 10.410	train
108	 Lei no 11.357	train
109	 Lei no 11.357	train
110	 Lei no 11.357	train
111	 Lei no 11.319	train
112	 Lei no 11.355	train
113	 Lei no 11.355	train
114	 Lei no 11.355	train
115	 Lei no 10.855	train
116	 Lei no 11.046	train
117	 Lei no 10.480	train
118	 Lei no 10.883	train
119	 Lei no 10.484	train
120	 Lei no 10.550	train
121	 Lei no 11.090	train
122	 Lei no 11.355	train
123	 Lei no 11.356	train
124	 Lei no 8.878	train
125	 Lei no 10.693	train
126	 Decreto no 3.939	train
127	 Decreto no 4.962	train
128	 Lei no 11.196	train
129	 Lei no 8.212	train
130	 Lei no 11.483	train
131	 Decreto no 6.018	train
132	Medida Provisória no 353	train
133	 Decreto no 6.433	test
134	 Decreto no 4.810	test
135	 Decreto no 5.294	train
136	 Lei no 9.650	train
137	 Decreto no 5.896	train
138	 Decreto no 88.777	train
139	 Decreto no 3.629	train
140	 Lei no 9.478	train
141	 Decreto no 4.502	train
142	 Decreto no 99.274	train
143	 Lei no 10.671	train
144	 Decreto no 6.473	test
145	 Decreto no 4.948	test
146	 Lei no 9.503	train
147	 Lei no 8.842	train
148	 Decreto no 1.948	train
149	 Decreto no 6.608	train
150	 Decreto no 2.122	train
151	 Lei no 8.212	train
152	 Lei no 11.196	train
153	Medida Provisória no 457	train
154	 Lei no 11.668	train
155	 Decreto no 6.639	train
156	 Decreto no 6.752	train
157	 Lei no 10.931	train
158	 Decreto no 6.006	test
159	 Decreto no 4.212	test
160	 Lei no 5.917	train
161	 Decreto no 4.625	train
162	 Decreto no 6.081	train
163	 Lei no 11.508	train
164	 Decreto no 3.564	train
165	 Decreto no 6.256	train
166	 Lei no 10.826	train
167	 Decreto no 5.123	train
168	 Lei no 9.478	train
169	 Lei no 10.826	train
170	Medida Provisória no 2.185	train
171	Medida Provisória no 459	test
172	 Lei no 3.268	test
173	 Decreto no 44.045	test
174	 Lei no 10.836	train
175	 Decreto no 5.209	train
176	 Lei no 2.848	train
177	 Lei no 6.015	train
178	Decreto-Lei no 5.452	train
179	 Lei no 6.015	train
180	Lei Complementar no 124	train
181	Medida Provisória no 458	train
182	Medida Provisória no 2.158	train
183	 Lei no 5.809	train
184	 Decreto no 71.733	train
185	 Lei no 4.771	test
186	 Decreto no 6.061	test
187	 Decreto no 1.935	train
188	 Lei no 10.833	train
189	 Lei no 11.196	train
190	 Decreto no 5.652	train
191	 Lei no 9.656	train
192	 Decreto no 4.340	train
193	 Decreto no 6.188	train
194	 Lei no 10.593	train
195	 Decreto no 4.625	train
196	 Lei no 8.112	train
197	 Decreto no 3.048	test
198	Lei Complementar no 101	test
199	 Lei no 8.989	train
200	 Lei no 11.196	train
201	Decreto-Lei no 1.598	train
202	Decreto-Lei no 73	train
203	 Decreto no 70.235	train
204	 Decreto no 4.725	train
205	 Lei no 8.829	train
206	 Lei no 7.210	train
207	 Lei no 11.907	train
208	 Decreto no 6.752	train
209	 Lei no 8.918	train
210	 Decreto no 5.060	train
211	 Lei no 8.913	test
212	Medida Provisória no 2.178	test
213	 Lei no 10.304	test
214	 Lei no 10.356	train
215	 Lei no 11.671	train
216	 Decreto no 4.727	train
217	 Lei no 5.991	train
218	 Lei no 11.279	train
219	 Lei no 8.036	train
220	 Decreto no 5.113	train
221	 Decreto no 58.984	train
222	Decreto-Lei no 2.375	train
223	 Lei no 7.679	test
224	Decreto-Lei no 221	test
225	 Lei no 8.212	test
226	 Lei no 6.830	test
227	 Lei no 8.212	test
228	 Lei no 9.494	test
229	 Lei no 11.314	test
230	 Lei no 11.775	test
231	 Decreto no 2.444	train
232	 Lei no 11.961	train
233	 Lei no 7.064	train
234	 Lei no 5.869	train
235	Decreto-Lei no 201	train
236	 Decreto no 6.517	train
237	 Decreto no 6.377	train
238	 Decreto no 6.061	train
239	 Lei no 5.917	train
240	 Lei no 5.869	train
241	 Lei no 9.537	test
242	 Lei no 9.782	test
243	 Decreto no 6.838	train
244	 Lei no 11.794	train
245	 Lei no 9.796	train
246	 Decreto no 3.112	train
247	 Decreto no 93.872	train
248	 Decreto no 6.707	train
249	 Decreto no 6.006	train
250	 Decreto no 6.202	train
251	 Lei no 11.196	train
252	 Decreto no 5.798	train
253	 Decreto no 6.260	train
254	 Decreto no 4.244	test
255	 Lei no 11.345	test
256	 Decreto no 6.187	test
257	 Lei no 7.802	train
258	 Decreto no 4.074	train
259	 Lei no 8.078	train
260	 Decreto no 6.647	train
261	 Lei no 8.560	train
262	 Lei no 9.503	train
263	 Lei no 5.869	train
264	 Lei no 9.784	train
265	 Lei no 9.503	train
266	Medida Provisória no 2.186	train
267	 Lei no 8.745	test
268	 Lei no 10.836	test
269	 Decreto no 5.209	test
270	 Decreto no 6.248	train
271	 Lei no 10.406	train
272	 Lei no 5.452	train
273	 Decreto no 6.320	train
274	 Lei no 8.212	train
275	 Lei no 11.196	train
276	 Lei no 11.960	train
277	 Decreto no 6.752	train
278	Decreto-Lei no 2.848	train
279	 Lei no 9.394	train
280	 Lei no 9.394	train
281	 Decreto no 5.705	test
282	 Decreto no 4.923	test
283	 Lei no 8.072	train
284	 Lei no 2.252	train
285	Decreto-Lei no 2.848	train
286	 Decreto no 6.417	train
287	 Decreto no 6.061	train
288	 Decreto no 5.957	train
289	 Lei no 11.540	train
290	 Decreto no 3.048	train
291	 Lei no 8.038	train
292	 Lei no 11.774	train
293	 Lei no 8.212	train
294	 Decreto no 3.048	train
295	 Decreto no 24.548	test
296	 Decreto no 24.114	test
297	 Decreto no 5.269	test
298	 Lei no 9.394	train
299	 Lei no 10.931	train
300	 Lei no 11.898	train
301	 Decreto no 3.048	train
302	 Lei no 10.696	train
303	 Decreto no 6.447	train
304	 Lei no 11.977	train
305	 Lei no 5.700	train
306	Decreto-Lei no 2.848	train
307	 Decreto no 6.320	test
308	 Lei no 8.112	test
309	 Decreto no 6.386	test
310	 Decreto no 3.564	train
311	 Decreto no 6.065	train
312	Decreto-Lei no 4.657	train
313	 Lei no 8.069	train
314	 Lei no 8.078	train
315	 Lei no 6.088	train
316	Lei Complementar no 80	train
317	 Lei no 1.060	train
318	 Decreto no 5.520	train
319	 Lei no 11.768	test
320	 Lei no 9.394	test
321	 Decreto no 6.188	train
322	 Lei no 10.683	train
323	 Decreto no 6.306	train
324	 Decreto no 6.983	train
325	 Decreto no 6.306	train
326	 Lei no 7.797	train
327	 Decreto no 3.524	train
328	 Lei no 11.892	train
329	 Decreto no 4.622	train
330	 Decreto no 5.135	train
331	 Lei no 9.394	test
332	 Lei no 9.875	test
333	 Lei no 9.868	train
334	 Lei no 11.941	train
335	Lei Complementar no 124	train
336	 Lei no 11.952	train
337	 Decreto no 6.752	train
338	 Decreto no 5.174	train
339	 Lei no 8.745	train
340	 Decreto no 6.980	train
341	 Decreto no 61.589	train
342	 Decreto no 4.858	test
343	Medida Provisória no 2.228	test
344	 Lei no 5.821	test
345	 Decreto no 107	test
346	 Decreto no 4.034	train
347	 Lei no 8.112	train
348	 Decreto no 1.910	train
349	 Decreto no 6.847	train
